iter	Passed	Remaining
456	831	987
457	832	984
458	833	981
459	833	979
460	834	976
461	838	976
462	840	974
463	841	971
464	842	968
465	843	966
466	844	963
467	845	960
468	846	958
469	847	955
470	848	952
471	849	949
472	849	946
473	853	947
474	855	945
475	856	942
476	857	939
477	858	937
478	859	935
479	860	932
480	862	930
481	865	929
482	869	930
483	870	928
484	872	925
485	873	923
486	874	920
487	875	918
488	876	915
489	877	913
490	878	911
491	880	909
492	885	911
493	887	909
494	889	907
495	890	904
496	891	902
497	892	899
498	893	896
499	894	894
500	894	891
501	895	888
502	899	889
503	901	886
504	902	884
505	903	881
506	904	879
507	905	876
508	905	873
509	906	871
510	908	868
511	909	866
512	910	864
513	912	863
514	913	860
515	914	858
516	915	855
517	916	853
518	917	850
519	918	848
520	919	845
521	921	843
522	922	841
523	923	838
524	924	836
525	928	836
526	929	834
527	930	831
528	931	829
529	932	826
530	933	824
531	934	821
532	936	820
533	937	817
534	938	815
535	939	812
536	941	811
537	943	810
538	944	807
539	945	805
540	946	803
541	947	800
542	949	799
543	951	797
544	953	795
545	954	793
546	959	794
547	960	792
548	962	790
549	963	788
550	964	786
551	966	784
552	968	782
553	970	780
554	975	781
555	976	779
556	978	777
557	979	775
558	980	773
559	981	771
560	982	768
561	983	766
562	985	764
563	988	764
564	989	762
565	991	760
566	992	758
567	994	756
568	995	754
569	997	752
570	998	750
571	999	748
572	1001	746
573	1004	745
574	1005	743
575	1006	740
576	1008	739
577	1011	738
578	1013	736
579	1014	734
580	1019	735
581	1021	733
582	1023	731
583	1024	729
584	1025	727
585	1028	726
586	1034	728
587	1036	726
588	1037	724
589	1039	722
590	1042	721
591	1043	719
592	1045	717
593	1046	715
594	1048	713
595	1050	711
596	1051	709
597	1053	707
598	1054	705
599	1055	703
600	1056	701
601	1058	699
602	1059	697
603	1063	697
604	1065	695
605	1066	693
606	1067	691
607	1069	689
608	1070	687
609	1071	685
610	1072	683
611	1073	680
612	1078	680
613	1079	678
614	1081	677
615	1083	675
616	1084	673
617	1085	671
618	1087	669
619	1088	667
620	1093	667
621	1095	665
622	1096	663
623	1097	661
624	1098	659
625	1099	657
626	1101	655
627	1103	653
628	1104	651
629	1105	649
630	1106	647
631	1108	645
632	1109	643
633	1110	641
634	1111	639
635	1112	636
636	1113	634
637	1114	632
638	1115	630
639	1117	628
640	1117	626
641	1118	623
642	1119	621
643	1123	621
644	1125	619
645	1126	617
646	1127	614
647	1128	612
648	1128	610
649	1129	608
650	1130	606
651	1131	603
652	1132	601
653	1133	599
654	1134	597
655	1135	595
656	1135	592
657	1138	591
658	1139	589
659	1140	587
660	1141	585
661	1143	583
662	1144	581
663	1145	579
664	1146	577
665	1147	575
666	1148	573
667	1149	571
668	1150	568
669	1153	568
670	1154	566
671	1155	564
672	1156	562
673	1157	560
674	1159	558
675	1162	557
676	1163	555
677	1164	553
678	1168	552
679	1169	550
680	1170	548
681	1171	546
682	1172	544
683	1174	542
684	1174	540
685	1175	538
686	1176	536
687	1177	533
688	1178	531
689	1179	529
690	1181	528
691	1182	526
692	1184	524
693	1185	522
694	1185	520
695	1186	518
696	1187	516
697	1188	514
698	1189	512
699	1190	510
700	1191	508
701	1192	506
702	1193	504
